#{"t_start": 1774025425.9025102, "env_id": "ColoredChestKuka-v0"}
r,l,t
1020.141311,81,50.688746
20.793717,150,50.777692
54.497335,150,50.864205
33.405788,150,50.949353
30.525314,150,51.03794
1031.597104,98,51.10792
-7.597175,150,51.195486
13.715005,150,51.378825
47.843049,150,51.483284
1017.52892,77,51.574689
1017.452981,73,51.634373
44.370915,150,51.724984
2.065367,150,51.813249
3.245968,150,52.386757
66.636463,150,52.475424
1013.964544,77,52.535437
6.69208,150,52.623258
-18.269783,150,52.711917
-11.264108,150,52.7995
23.168462,150,52.889593
9.145041,150,52.98322
1018.636065,76,53.118488
1016.236917,69,53.175516
11.812149,150,53.265061
1031.469454,94,53.329963
87.024079,150,53.417357
20.449218,150,53.503329
37.65775,150,53.592263
-20.463492,150,53.678081
37.033207,150,54.23019
1018.999816,78,54.290469
10.051174,150,54.377287
16.713706,150,54.460778
67.319588,150,54.548098
34.281454,150,54.639072
-0.363278,150,54.726535
34.384921,150,54.814672
-18.606154,150,54.90261
52.2246,150,54.98814
39.061473,150,55.074473
1030.878417,101,55.141803
54.255028,150,55.228764
50.217318,150,55.317314
35.442417,150,56.003209
26.583028,150,56.088498
61.995687,150,56.175832
1013.485801,77,56.235542
-24.789168,150,56.331198
24.985963,150,56.429858
28.50296,150,56.621543
39.131995,150,56.714472
-6.519781,150,56.806694
1014.461442,71,56.863765
-45.871206,150,56.951782
62.29955,150,57.041884
51.301883,150,57.128575
69.66581,150,57.21219
2.793193,150,57.298128
58.892005,150,57.893048
37.196858,150,57.986298
47.933489,150,58.078228
41.599092,150,58.167158
24.706464,150,58.25501
-0.242376,150,58.346839
31.437259,150,58.438697
19.08443,150,58.631126
30.675509,150,58.728244
32.403973,150,58.822035
4.713411,150,58.916874
53.028932,150,59.014527
-6.260661,150,59.108718
52.334381,150,59.19927
43.064808,150,59.773604
1016.600497,72,59.834313
73.133449,150,59.933117
55.528402,150,60.027941
46.043077,150,60.124774
48.145746,150,60.221892
45.444547,150,60.403375
37.255919,150,60.542027
1014.700606,74,60.606935
39.2484,150,60.69653
30.944076,150,60.78532
1014.102529,85,60.851952
35.653261,150,60.939621
32.737877,150,61.025701
49.090834,150,61.114549
73.346629,150,61.698572
43.521121,150,61.791351
52.184922,150,61.884789
27.848255,150,61.977954
68.344724,150,62.069054
1023.600759,78,62.128757
75.385266,150,62.216496
5.083221,150,62.403288
61.515237,150,62.490894
58.11228,150,62.578452
55.286747,150,62.667
1013.38571,67,62.722156
36.439983,150,62.811648
7.784738,150,62.901705
52.986587,150,62.991352
5.558802,150,63.619838
29.682065,150,63.712246
50.617969,150,63.802061
-26.58476,150,63.888765
7.533602,150,63.978075
47.158411,150,64.067273
31.575489,150,64.154794
47.701897,150,64.241763
49.885643,150,64.329593
58.57858,150,64.416677
1042.75109,97,64.48317
46.998025,150,64.570371
25.026776,150,64.733734
13.25223,150,64.820235
1010.870837,81,65.33169
67.288476,150,65.416248
1018.60116,74,65.475059
83.190269,150,65.561026
44.07377,150,65.6447
25.297563,150,65.729063
63.743532,150,65.815661
36.254818,150,65.900933
35.545573,150,65.988884
26.550712,150,66.075729
4.270177,150,66.156932
1016.136877,71,66.213253
65.485442,150,66.295436
45.499882,150,66.383726
37.326185,150,66.468221
41.319354,150,67.013367
1033.406463,87,67.07518
43.280648,150,67.163165
17.953551,150,67.248128
9.696236,150,67.334333
38.426189,150,67.419459
15.96607,150,67.502981
1014.749433,80,67.558471
44.117593,150,67.645519
1019.620124,75,67.699923
1028.061513,107,67.844927
42.94466,150,67.928834
16.008051,150,68.011163
52.587696,150,68.09583
50.697194,150,68.179394
48.968105,150,68.725645
39.528892,150,68.811376
49.88389,150,68.896139
38.608105,150,68.982645
9.895923,150,69.068075
33.830389,150,69.155512
1015.530281,72,69.21344
61.183878,150,69.299733
1078.948032,144,69.383779
30.244833,150,69.467521
54.336355,150,69.556315
57.86336,150,69.642832
1017.978422,87,69.701747
63.505788,150,69.783857
39.709321,150,69.869987
77.234298,150,70.441847
58.999562,150,70.528963
1014.32195,82,70.585545
38.654167,150,70.670509
1039.880235,102,70.734978
1019.891249,85,70.792128
28.402132,150,70.879119
27.5611,150,70.967895
35.507192,150,71.05663
47.555231,150,71.143477
1044.228903,141,71.225059
44.422112,150,71.3118
29.428395,150,71.396146
75.690422,150,71.480347
46.732983,150,71.561554
57.690175,150,72.100342
48.793908,150,72.186564
26.358173,150,72.273895
1015.920599,72,72.330169
2.159136,150,72.415477
41.51962,150,72.502246
1016.955009,69,72.556333
54.003868,150,72.719279
34.936182,150,72.810656
33.025948,150,72.898623
51.936473,150,72.983869
78.182113,150,73.068474
47.470341,150,73.153335
52.560926,150,73.239467
11.185489,150,73.787371
1011.903876,126,73.861847
1062.836405,145,73.948102
53.660274,150,74.033518
1016.112452,75,74.091272
1016.497353,74,74.146627
41.437778,150,74.231088
1017.452553,86,74.289901
68.450181,150,74.379518
41.089048,150,74.465145
35.737907,150,74.551775
53.010159,150,74.635396
28.062264,150,74.719594
43.355748,150,74.807594
71.344623,150,74.921802
1024.063002,87,74.985172
43.421444,150,75.530973
12.540693,150,75.614515
75.653556,150,75.700466
27.258735,150,75.785982
48.834909,150,75.874574
46.356564,150,75.96043
39.710336,150,76.051279
39.264602,150,76.260893
1017.254262,73,76.335451
1016.843113,78,76.392646
58.09855,150,76.477698
30.690402,150,76.562619
46.583755,150,76.647123
22.195273,150,76.734576
65.373893,150,76.823691
42.957959,150,77.367537
38.932587,150,77.452181
34.538002,150,77.536397
52.813866,150,77.619657
55.479862,150,77.707727
56.965812,150,77.795101
75.278899,150,77.879242
1019.564255,79,78.004509
41.334771,150,78.100826
75.998728,150,78.186053
59.556883,150,78.272258
32.235219,150,78.361264
27.386353,150,78.44459
45.328961,150,78.528377
48.679429,150,79.073946
61.608467,150,79.161985
60.029292,150,79.249149
40.992621,150,79.333107
32.264724,150,79.419966
1012.375711,77,79.474946
25.961697,150,79.5597
1019.103927,90,79.61892
