#{"t_start": 1774030652.557245, "env_id": "ColoredChestKuka-v0"}
r,l,t
-40.138748,150,50.871472
13.827068,150,50.958121
0.943436,150,51.044636
-30.903296,150,51.131153
78.231792,150,51.217112
40.80777,150,51.774633
21.887642,150,51.861678
44.937467,150,51.949129
0.985976,150,52.038575
1016.82597,89,52.1026
6.930577,150,52.188563
-16.526331,150,52.274089
30.83401,150,52.362152
-6.84875,150,52.55627
47.367883,150,52.653476
6.692711,150,52.739002
36.954365,150,52.828138
41.358445,150,52.914922
70.092068,150,53.003226
1035.476145,90,53.069592
40.53197,150,53.622033
26.839805,150,53.710306
41.082784,150,53.79606
43.200297,150,53.881314
-29.402387,150,53.968008
34.251963,150,54.055704
-11.594526,150,54.14341
18.5637,150,54.311554
31.180936,150,54.398962
33.044107,150,54.485431
-1.494286,150,54.570433
1024.100591,89,54.633535
38.737978,150,54.719809
39.822803,150,54.80498
1016.874372,73,55.327198
2.331742,150,55.414132
5.333649,150,55.498731
68.546788,150,55.585679
-34.838056,150,55.669485
41.661854,150,55.751448
17.301851,150,55.834499
30.213892,150,55.919755
24.572787,150,56.007253
1024.49526,97,56.159084
7.798804,150,56.245823
1013.824128,73,56.302035
50.475735,150,56.38834
27.388075,150,56.472427
-23.132119,150,56.558038
70.634419,150,57.11752
19.814305,150,57.204886
-0.766289,150,57.290802
57.208929,150,57.37647
-0.744872,150,57.45892
44.436048,150,57.545
-7.988757,150,57.630103
42.489858,150,57.817577
23.915617,150,57.912427
10.050749,150,57.999018
35.17527,150,58.085858
85.028834,150,58.176093
1030.351076,101,58.245342
7.032362,150,58.331963
7.185579,150,58.89853
11.845513,150,58.983818
41.232119,150,59.073539
1029.913509,86,59.134811
1012.653789,71,59.189017
49.714066,150,59.274662
25.483794,150,59.360891
41.838524,150,59.448377
30.326477,150,59.609991
1025.209432,116,59.683674
1017.327845,74,59.739554
23.276034,150,59.825183
4.450332,150,59.910953
18.212709,150,59.996092
70.111006,150,60.084355
42.703785,150,60.640059
-25.148811,150,60.733907
1.27986,150,60.818216
48.545214,150,60.903437
16.625292,150,60.987083
-26.434094,150,61.076595
2.209995,150,61.163337
6.434277,150,61.31439
-4.404408,150,61.505897
1018.284112,72,61.563457
1021.39106,90,61.627766
5.898832,150,61.714132
1016.031021,89,61.776148
40.696,150,61.861978
30.769702,150,61.94762
43.763526,150,62.500778
49.111777,150,62.585386
-6.847941,150,62.67426
9.784585,150,62.759146
1007.595462,92,62.820588
28.955574,150,62.906363
33.790867,150,62.992935
48.858792,150,63.08516
62.487153,150,63.280856
1015.725314,84,63.355505
5.618141,150,63.441281
37.263057,150,63.528441
52.53297,150,63.614738
38.37589,150,63.702952
68.714517,150,63.789196
36.976366,150,64.352974
1017.592594,81,64.410181
1012.689322,85,64.470263
9.333121,150,64.553769
72.819011,150,64.639651
32.456629,150,64.725324
40.054813,150,64.811157
47.394176,150,64.897332
18.62968,150,65.075207
36.822586,150,65.162908
55.690987,150,65.248159
14.361732,150,65.332385
48.960181,150,65.417886
46.508597,150,65.502681
50.105688,150,66.055856
47.718472,150,66.142717
59.91982,150,66.23114
75.281342,150,66.31714
39.205423,150,66.403192
1006.998372,84,66.464423
20.593504,150,66.548217
41.976808,150,66.633129
38.941903,150,66.716361
26.587658,150,66.904143
1018.791327,97,66.969337
41.916316,150,67.056093
1010.951592,87,67.119693
36.500447,150,67.207291
72.35258,150,67.296213
48.720975,150,67.849984
43.766085,150,67.935888
15.186668,150,68.023398
1012.766845,77,68.084395
30.744585,150,68.171638
58.648001,150,68.258263
1009.581402,84,68.320592
1026.005744,95,68.385158
26.690311,150,68.576693
43.352832,150,68.683868
5.984553,150,68.771376
52.049846,150,68.857088
24.317927,150,68.942639
1011.489404,80,69.002198
1011.424455,80,69.063521
37.142656,150,69.152242
51.926944,150,69.704789
45.157267,150,69.790863
50.675153,150,69.877165
32.096531,150,69.962997
25.134352,150,70.051863
36.528894,150,70.136015
13.548392,150,70.218473
2.433497,150,70.302845
20.004709,150,70.387847
41.701141,150,70.474417
1012.597777,90,70.620212
17.964208,150,70.705453
26.169821,150,70.789658
24.733325,150,70.87529
1013.567546,79,70.933877
33.587798,150,71.49404
29.185646,150,71.579983
-1.51822,150,71.665802
1017.33333,74,71.723842
75.967078,150,71.808877
30.63256,150,71.896166
9.18977,150,71.983154
45.318029,150,72.150585
23.716912,150,72.233836
1015.312278,72,72.28839
3.749654,150,72.457203
1014.348055,112,72.530536
21.494048,150,72.614816
36.159045,150,72.701881
43.167115,150,72.785886
44.69146,150,73.340069
44.421759,150,73.425805
44.552263,150,73.512073
36.288059,150,73.596715
67.744915,150,73.68475
57.14765,150,73.770612
18.841482,150,73.858134
46.956591,150,74.0622
55.002899,150,74.158657
43.836329,150,74.245987
53.526834,150,74.332971
40.995063,150,74.419382
1017.650375,99,74.484273
1011.061023,86,74.545267
72.537772,150,75.105543
34.653365,150,75.194076
1019.872078,78,75.252647
1012.868929,74,75.308885
43.401732,150,75.393829
51.61816,150,75.478868
62.836429,150,75.564302
1015.158686,75,75.62115
45.676784,150,75.799988
41.347267,150,75.886104
50.158301,150,75.974287
1016.305741,86,76.038142
-2.140132,150,76.123867
44.424137,150,76.208646
55.595714,150,76.295092
51.489972,150,76.386467
1.260613,150,76.935201
46.068427,150,77.021855
1007.333042,92,77.087906
1013.376661,76,77.146767
85.28552,150,77.233359
57.918925,150,77.320586
61.415827,150,77.402726
48.464872,150,77.522204
29.664552,150,77.653436
20.106074,150,77.744151
5.643311,150,77.830837
54.58893,150,77.915843
70.652186,150,78.000287
50.606639,150,78.090408
18.214403,150,78.646008
11.802982,150,78.732282
62.154442,150,78.817717
35.376691,150,78.902648
39.261782,150,78.989445
26.145723,150,79.076167
24.094246,150,79.161689
1023.24356,86,79.224781
70.512758,150,79.425213
1036.780256,110,79.518039
26.007899,150,79.602709
8.108752,150,79.689024
3.253665,150,79.775008
90.480643,150,79.85854
16.962436,150,80.413274
30.443691,150,80.498852
24.281963,150,80.583247
7.186208,150,80.668886
37.77261,150,80.754719
44.280029,150,80.840541
1013.754373,90,80.902547
35.790032,150,80.989551
27.984868,150,81.148113
9.56059,150,81.247421
40.481616,150,81.334273
21.8497,150,81.420468
30.91344,150,81.505536
64.524423,150,81.593094
39.584345,150,82.153244
40.225878,150,82.242812
20.632851,150,82.328438
1014.562246,83,82.38947
42.567357,150,82.472628
1018.745456,87,82.535177
18.948839,150,82.619689
20.597724,150,82.70324
0.801348,150,82.87978
67.163476,150,82.966566
-4.580465,150,83.054352
58.62189,150,83.138987
42.598558,150,83.224598
1.638274,150,83.396913
40.235023,150,83.486308
3.173148,150,84.048609
43.815483,150,84.135141
1034.280253,111,84.205533
1020.361755,91,84.268054
1020.977412,94,84.334607
-15.525238,150,84.418537
54.459002,150,84.503979
1026.677445,114,84.576881
2.649289,150,84.768917
51.082151,150,84.870358
45.502091,150,84.956882
59.935904,150,85.045266
39.914563,150,85.130186
49.732919,150,85.216746
65.032879,150,85.303345
1021.482394,87,85.830055
44.644559,150,85.915626
1046.602606,120,85.989863
1007.113719,95,86.056909
47.853779,150,86.14246
34.97705,150,86.226526
52.702763,150,86.312162
1025.554845,95,86.378656
47.434178,150,86.52873
29.058806,150,86.62986
55.484246,150,86.716174
34.782459,150,86.802482
24.70906,150,86.888053
70.454736,150,86.973672
47.591319,150,87.060939
42.817216,150,87.61918
1030.251473,93,87.686629
1023.994943,97,87.751214
1018.994796,108,87.819249
-4.100949,150,87.904064
47.755278,150,87.988789
1012.95766,95,88.055256
1013.778503,100,88.125998
54.549892,150,88.302978
1012.413589,77,88.364231
1008.907215,91,88.426654
59.83399,150,88.512055
-6.971723,150,88.5983
30.435034,150,88.685099
-4.788305,150,88.770631
70.956316,150,88.855321
61.369255,150,89.427755
62.421836,150,89.515711
1015.953639,86,89.577361
57.592206,150,89.665437
80.344044,150,89.74975
38.25166,150,89.835027
26.615636,150,89.920966
37.185666,150,90.089096
64.029237,150,90.187655
27.656844,150,90.273551
1011.000939,85,90.335532
50.707204,150,90.422935
44.864784,150,90.507172
21.816671,150,90.595274
1014.734656,102,90.735766
56.941081,150,91.315322
26.060447,150,91.402915
54.630864,150,91.489144
1018.469768,88,91.551704
72.124515,150,91.638354
10.900971,150,91.72533
21.298677,150,91.810766
21.047373,150,91.986656
16.386935,150,92.076755
43.353271,150,92.161918
14.009559,150,92.247922
1019.380903,90,92.310076
26.679515,150,92.396341
72.27173,150,92.482566
59.168441,150,93.044287
43.39256,150,93.13038
60.238646,150,93.217772
13.533723,150,93.30181
40.462784,150,93.387678
43.687328,150,93.474813
19.512747,150,93.559438
7.326442,150,93.646289
39.724673,150,93.812777
20.19578,150,93.898665
24.816897,150,93.983271
